,Modelo,Preço,Link
20,Memória RAM color verde  4GB 1 Multilaser MM410,"R$195,86",https://www.mercadolivre.com.br/memoria-ram-color-verde-4gb-1-multilaser-mm410/p/MLB19885957#searchVariation%3DMLB19885957%26position%3D27%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
21,Memória RAM color verde  8GB 1 Crucial CT8G4SFD824A,R$155,https://www.mercadolivre.com.br/memoria-ram-color-verde-8gb-1-crucial-ct8g4sfd824a/p/MLB18922312#searchVariation%3DMLB18922312%26position%3D23%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
22,Memória P/notebook Ddr4 8gb 2666mhz Fury Impact - Kingston,R$132,https://www.mercadolivre.com.br/memoria-pnotebook-ddr4-8gb-2666mhz-fury-impact-kingston/p/MLB18614436#searchVariation%3DMLB18614436%26position%3D24%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
23,Memória RAM Fury DDR4 color preto  8GB 1 HyperX HX426C16FB2/8,R$239,https://www.mercadolivre.com.br/memoria-ram-fury-ddr4-color-preto-8gb-1-hyperx-hx426c16fb28/p/MLB14728866#searchVariation%3DMLB14728866%26position%3D20%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
24,Memória Para Notebook Rise Mode Value 8gb 2666mhz Ddr4 Cl17,"R$171,10",https://www.mercadolivre.com.br/memoria-para-notebook-rise-mode-value-8gb-2666mhz-ddr4-cl17/p/MLB36619431#searchVariation%3DMLB36619431%26position%3D22%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
25,Memória RAM color verde 16GB 1 DDR4 2133Mhz Crucial CT16G4SFD8213,R$253,https://www.mercadolivre.com.br/memoria-ram-color-verde-16gb-1-ddr4-2133mhz-crucial-ct16g4sfd8213/p/MLB19833821#searchVariation%3DMLB19833821%26position%3D21%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
26,Kit Com 3 Fans Rgb Gamdias Aeolus M3 1203r Argb Preto,"R$312,80",https://www.mercadolivre.com.br/kit-com-3-fans-rgb-gamdias-aeolus-m3-1203r-argb-preto/p/MLB35157728#searchVariation%3DMLB35157728%26position%3D25%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
27,Memória RAM  8GB 1x8GB Smart SMU4WEC8C1K0464FCG,"R$145,90",https://www.mercadolivre.com.br/memoria-ram-8gb-1x8gb-smart-smu4wec8c1k0464fcg/p/MLB27601849#searchVariation%3DMLB27601849%26position%3D19%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
28,Memória RAM Fury DDR3 color azul 8GB 1 HyperX HX316C10F/8,"R$84,99",https://www.mercadolivre.com.br/memoria-ram-fury-ddr3-color-azul-8gb-1-hyperx-hx316c10f8/p/MLB14729105#searchVariation%3DMLB14729105%26position%3D29%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
29,Memória RAM color verde  16GB 1 Crucial CT16G4SFD824A,R$265,https://www.mercadolivre.com.br/memoria-ram-color-verde-16gb-1-crucial-ct16g4sfd824a/p/MLB18921998#searchVariation%3DMLB18921998%26position%3D30%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
30,Memória RAM color verde  8GB 1 Crucial CT102464BD160B,R$115,https://www.mercadolivre.com.br/memoria-ram-color-verde-8gb-1-crucial-ct102464bd160b/p/MLB6510630#searchVariation%3DMLB6510630%26position%3D28%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
31,Memória RAM PC3L color verde  4GB 1 Smart SH564128FJ8NWRNSQR,"R$75,51",https://www.mercadolivre.com.br/memoria-ram-pc3l-color-verde-4gb-1-smart-sh564128fj8nwrnsqr/p/MLB11730670#searchVariation%3DMLB11730670%26position%3D34%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
32,Memória Ram Ddr5 Corsair Vengeance Rgb 2 X 16 32gb 5600 mhz,R$990,https://www.mercadolivre.com.br/memoria-ram-ddr5-corsair-vengeance-rgb-2-x-16-32gb-5600-mhz/p/MLB27937977#searchVariation%3DMLB27937977%26position%3D33%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
33,Memória 16gb 3200mhz Rgb Redragon Magma Ddr4,R$303,https://www.mercadolivre.com.br/memoria-16gb-3200mhz-rgb-redragon-magma-ddr4/p/MLB32103184#searchVariation%3DMLB32103184%26position%3D36%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
34,Memória RAM color verde  8GB 1 Golden Memory GM16N11/8,"R$53,63",https://www.mercadolivre.com.br/memoria-ram-color-verde-8gb-1-golden-memory-gm16n118/p/MLB22277290#searchVariation%3DMLB22277290%26position%3D31%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
35,Memória RAM color verde  16GB 1 IBM 46W0796,R$400,https://www.mercadolivre.com.br/memoria-ram-color-verde-16gb-1-ibm-46w0796/p/MLB18922331#searchVariation%3DMLB18922331%26position%3D35%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
36,Memória Gamer Redragon Magma 32gb Ddr4 3200mhz Rgb - Gm-803,R$563,https://www.mercadolivre.com.br/memoria-gamer-redragon-magma-32gb-ddr4-3200mhz-rgb-gm-803/p/MLB34013202#searchVariation%3DMLB34013202%26position%3D37%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
37,Memória RAM color verde  4GB 1 Smart SH564128FJ8NWRNSQG,R$69,https://www.mercadolivre.com.br/memoria-ram-color-verde-4gb-1-smart-sh564128fj8nwrnsqg/p/MLB11403305#searchVariation%3DMLB11403305%26position%3D32%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
38,Memória RAM color verde  8GB 1 Smart SF4641G8CK8IEHLSBG,R$186,https://www.mercadolivre.com.br/memoria-ram-color-verde-8gb-1-smart-sf4641g8ck8iehlsbg/p/MLB14307020#searchVariation%3DMLB14307020%26position%3D40%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
39,Memória Ddr3 4GB Kingston 1600mhz - Pc3--12800 KVR16N11/4,"R$56,89",https://www.mercadolivre.com.br/memoria-ddr3-4gb-kingston-1600mhz-pc3-12800-kvr16n114/p/MLB7934317#searchVariation%3DMLB7934317%26position%3D42%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
40,Memória 8gb Ddr3 2rx8 Pc3l-12800e Servidor Dell Hp Ibm Ecc,"R$224,48",https://www.mercadolivre.com.br/memoria-8gb-ddr3-2rx8-pc3l-12800e-servidor-dell-hp-ibm-ecc/p/MLB21472750#searchVariation%3DMLB21472750%26position%3D38%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
41,Memória Ram 4gb Ddr4 | Rise Mode | 2666mhz | Notebook,"R$98,08",https://produto.mercadolivre.com.br/MLB-4655167712-memoria-ram-4gb-ddr4-rise-mode-2666mhz-notebook-_JM#position%3D51%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
42,Memória RAM ValueRAM color verde  8GB 1 Kingston 3200Mhz DDR4  KVR32S22S6/8,R$128,https://www.mercadolivre.com.br/memoria-ram-valueram-color-verde-8gb-1-kingston-3200mhz-ddr4-kvr32s22s68/p/MLB19036775#searchVariation%3DMLB19036775%26position%3D39%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
43,Memória Ram Color Verde 1gb Markvision Bmd11024m0400c3-1242,"R$25,01",https://produto.mercadolivre.com.br/MLB-4846789952-memoria-ram-color-verde-1gb-markvision-bmd11024m0400c3-1242-_JM#position%3D52%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
